Customer_ID,Gender,Region,Subscription_Plan,Payment_Method,Age,Days_Since_Last_Login,Customer_Service_Calls,Monthly_Spend,Churn
10001,Male,East,Basic,Paypal,27.0,27,1.0,61.08,0
10002,Unknown,West,Pro,Paypal,55.0,146,2.0,73.09,0
10003,Female,West,Pro,E-wallet,,147,2.0,116.3,1
10004,Female,South,Basic,Credit card,,34,1.0,0.58,1
10005,Male,North,Basic,Crypto,30.0,146,3.0,46.35,1
10006,Male,West,Basic,Crypto,46.0,103,1.0,36.64,1
10007,Male,South,Basic,E-wallet,22.0,62,2.0,0.0,1
10008,Non-Binary,East,Pro,E-wallet,44.0,81,2.0,66.51,1
10009,Female,East,Pro,Crypto,43.0,6,1.0,99.03,1
10010,Female,East,Basic,,32.0,154,3.0,29.86,1
10011,Male,East,Basic,,-5.0,38,2.0,47.18,1
10012,Unknown,South,Basic,E-wallet,-5.0,29,0.0,62.96,0
10013,Non-Binary,North,Plus,Credit card,-5.0,22,1.0,150.74,1
10014,Male,South,Basic,E-wallet,-5.0,83,2.0,0.0,1
10015,Male,North,Plus,E-wallet,-5.0,150,1.0,113.16,1
10016,Male,East,Plus,Credit card,-5.0,46,2.0,98.8,0
10017,Male,West,Pro,Paypal,-5.0,175,1.0,25.93,1
10018,Female,West,Pro,,-5.0,94,2.0,78.62,1
10019,Female,West,Basic,,-5.0,62,2.0,46.83,1
10020,Male,North,Pro,E-wallet,-5.0,119,2.0,34.23,1
10021,Female,East,Basic,,-5.0,136,2.0,59.3,0
10022,Male,South,Plus,Paypal,150.0,150,2.0,191.92,1
10023,Male,West,Basic,Crypto,150.0,116,0.0,108.58,0
10024,Male,North,Pro,Paypal,150.0,174,2.0,122.11,1
10025,Female,West,Basic,Credit card,150.0,86,4.0,71.26,0
10026,Female,South,Plus,E-wallet,150.0,73,1.0,167.01,1
10027,Male,East,Basic,Credit card,150.0,65,0.0,0.0,1
10028,Female,South,Pro,E-wallet,150.0,36,1.0,73.77,0
10029,Female,East,Basic,Credit card,150.0,124,2.0,72.01,1
10030,Male,East,Basic,Credit card,150.0,165,4.0,22.69,1
10031,Female,East,Pro,Crypto,150.0,0,3.0,92.74,1
10032,Male,West,Plus,Paypal,35.0,175,0.0,194.64,1
10033,Male,South,Basic,Paypal,,81,1.0,34.88,1
10034,Unknown,West,Plus,Credit card,19.0,34,1.0,150.38,0
10035,Unknown,South,Pro,Paypal,38.0,70,1.0,59.33,0
10036,Non-Binary,North,Plus,Crypto,27.0,107,5.0,241.32,1
10037,Male,North,Basic,Credit card,,85,1.0,44.2,1
10038,Male,South,Basic,Paypal,,24,4.0,0.0,1
10039,Female,South,Plus,Paypal,38.0,41,2.0,131.4,1
10040,Female,South,Basic,E-wallet,34.0,150,2.0,,1
10041,Male,South,Pro,Paypal,47.0,8,3.0,110.17,0
10042,Female,East,Basic,Paypal,37.0,154,3.0,24.14,1
10043,Male,West,Basic,E-wallet,26.0,50,0.0,0.0,0
10044,Unknown,East,Pro,Credit card,34.0,56,4.0,8.77,1
10045,Male,West,Pro,Credit card,30.0,81,4.0,13.47,1
10046,Female,West,Pro,,35.0,163,4.0,105.25,1
10047,Male,West,Basic,E-wallet,29.0,161,2.0,36.71,1
10048,Female,East,Basic,Credit card,27.0,12,3.0,1.76,1
10049,Female,South,Basic,Paypal,35.0,173,1.0,110.11,1
10050,Male,East,Basic,Paypal,34.0,179,1.0,27.85,1
10051,Unknown,East,Plus,,44.0,27,2.0,94.4,0
10052,Female,West,Pro,,29.0,85,1.0,78.88,1
10053,Unknown,North,Basic,Credit card,14.0,110,2.0,46.92,1
10054,Non-Binary,North,Plus,E-wallet,30.0,157,1.0,139.6,1
10055,Female,East,Basic,Credit card,17.0,44,2.0,22.44,0
10056,Unknown,West,Pro,E-wallet,38.0,37,1.0,109.19,1
10057,Male,East,Basic,E-wallet,17.0,19,2.0,37.98,1
10058,Male,East,Pro,Credit card,24.0,96,1.0,110.17,0
10059,Male,South,Basic,,30.0,174,1.0,58.26,1
10060,Male,West,Basic,Paypal,49.0,101,2.0,,1
10061,Male,North,Basic,E-wallet,23.0,58,1.0,52.67,1
10062,Male,North,Basic,,34.0,141,0.0,54.44,1
10063,Non-Binary,North,Basic,Crypto,39.0,41,0.0,39.57,0
10064,Male,East,Basic,Crypto,,58,5.0,42.83,1
10065,Male,West,Basic,E-wallet,41.0,7,2.0,0.0,1
10066,Female,South,Pro,Paypal,44.0,56,3.0,146.01,1
10067,Male,North,Basic,E-wallet,42.0,149,2.0,52.99,1
10068,Non-Binary,West,Pro,Crypto,21.0,101,0.0,111.95,0
10069,Male,North,Basic,Crypto,37.0,83,2.0,85.35,1
10070,Unknown,South,Plus,Crypto,42.0,20,0.0,193.97,0
10071,Female,West,Plus,Credit card,24.0,127,1.0,195.1,1
10072,Male,East,Basic,Crypto,28.0,155,0.0,0.0,1
10073,Male,East,Pro,Paypal,25.0,48,1.0,0.0,1
10074,Non-Binary,North,Basic,Credit card,,150,2.0,23.96,0
10075,Female,North,Plus,Crypto,33.0,53,0.0,170.01,0
10076,Female,West,Pro,Paypal,30.0,150,0.0,98.39,1
10077,Female,South,Basic,Crypto,21.0,67,4.0,41.27,0
10078,Male,North,Basic,Paypal,33.0,45,3.0,41.42,1
10079,Male,West,Basic,Paypal,28.0,155,2.0,35.31,1
10080,Male,South,Basic,Crypto,36.0,94,1.0,0.0,1
10081,Non-Binary,North,Pro,Crypto,22.0,96,4.0,28.59,1
10082,Female,North,Basic,Credit card,35.0,49,5.0,24.51,1
10083,Male,West,Basic,Crypto,29.0,82,3.0,4.32,1
10084,Male,North,Basic,Paypal,21.0,62,0.0,12.9,1
10085,Male,East,Basic,E-wallet,,9,1.0,0.0,1
10086,Male,South,Basic,Credit card,22.0,88,0.0,22.64,1
10087,Female,South,Plus,Paypal,31.0,164,-1.0,169.82,1
10088,Female,East,Basic,Paypal,35.0,140,3.0,0.0,0
10089,Non-Binary,West,Pro,E-wallet,36.0,69,1.0,101.97,1
10090,Female,East,Basic,Crypto,37.0,29,2.0,0.0,1
10091,Male,East,Basic,Paypal,26.0,79,1.0,49.24,1
10092,Female,South,Pro,E-wallet,44.0,71,2.0,52.76,1
10093,Female,West,Basic,E-wallet,29.0,138,0.0,71.49,1
10094,Female,North,Basic,Crypto,38.0,122,3.0,0.0,1
10095,Female,East,Pro,,,128,1.0,42.68,1
10096,Female,East,Basic,E-wallet,37.0,145,2.0,27.97,1
10097,Female,West,Basic,E-wallet,31.0,99,3.0,43.45,1
10098,Female,East,Pro,E-wallet,37.0,10,3.0,122.37,0
10099,Male,West,Pro,E-wallet,33.0,83,4.0,108.03,1
10100,Male,North,Basic,,42.0,137,0.0,,1
10101,Male,West,Basic,Paypal,25.0,175,1.0,99999.99,1
10102,Female,North,Basic,Credit card,16.0,60,1.0,99999.99,1
10103,Male,West,Basic,Crypto,24.0,137,1.0,99999.99,1
10104,Female,East,Pro,Credit card,44.0,100,1.0,99999.99,0
10105,Unknown,North,Plus,Crypto,32.0,121,2.0,99999.99,1
10106,Male,East,Plus,Credit card,34.0,59,2.0,99999.99,1
10107,Female,North,Basic,,23.0,113,3.0,99999.99,1
10108,Female,West,Basic,E-wallet,34.0,149,2.0,99999.99,1
10109,Male,West,Pro,Credit card,23.0,74,4.0,99999.99,1
10110,Male,West,Basic,Credit card,25.0,98,0.0,99999.99,1
10111,Male,South,Pro,Crypto,29.0,8,0.0,99999.99,0
10112,Male,South,Pro,Crypto,38.0,142,1.0,22.92,1
10113,Unknown,North,Plus,Paypal,39.0,82,3.0,,0
10114,Non-Binary,South,Basic,E-wallet,39.0,36,4.0,0.0,1
10115,Female,West,Basic,E-wallet,18.0,69,1.0,64.35,1
10116,Non-Binary,South,Plus,Paypal,33.0,171,3.0,133.0,1
10117,Non-Binary,South,Pro,Crypto,32.0,130,0.0,33.26,1
10118,Male,East,Plus,E-wallet,18.0,9,3.0,,0
10119,Non-Binary,North,Basic,Crypto,34.0,131,1.0,0.0,1
10120,Female,North,Pro,E-wallet,31.0,55,2.0,165.35,0
10121,Non-Binary,North,Pro,Credit card,39.0,167,2.0,109.11,1
10122,Non-Binary,South,Basic,Credit card,34.0,32,4.0,4.18,1
10123,Male,West,Pro,E-wallet,,160,0.0,77.74,1
10124,Male,East,Pro,E-wallet,,148,0.0,45.48,0
10125,Male,North,Basic,E-wallet,11.0,102,1.0,39.91,0
10126,Female,South,Basic,Paypal,33.0,118,1.0,0.0,1
10127,Non-Binary,West,Pro,E-wallet,16.0,44,2.0,20.79,1
10128,Non-Binary,East,Basic,Paypal,24.0,56,0.0,,1
10129,Male,East,Plus,Paypal,39.0,167,1.0,221.37,0
10130,Female,North,Basic,Credit card,21.0,125,1.0,,1
10131,Female,North,Basic,E-wallet,19.0,126,1.0,0.0,1
